Timestamp,Bandwidth Value,Downtime (raw),Coverage (raw),Sensor ID,Start Time,End Time
45655.9375,7450.5,0.0,10000,1,12/30/2024 00:00:00,00:30:00
45655.91667,7519.8667,0.0,10000,1,12/29/2024 23:30:00,00:00:00
45655.89583,7563.0333,0.0,10000,1,12/29/2024 23:00:00,23:30:00
45655.875,7589.8667,0.0,10000,1,12/29/2024 22:30:00,23:00:00
45655.85417,7633.8667,0.0,10000,1,12/29/2024 22:00:00,22:30:00
45655.83333,7698.1667,0.0,10000,1,12/29/2024 21:30:00,22:00:00
45655.8125,7700.3667,0.0,10000,1,12/29/2024 21:00:00,21:30:00
45655.79167,7643.4333,0.0,10000,1,12/29/2024 20:30:00,21:00:00
45655.77083,7659.3,0.0,10000,1,12/29/2024 20:00:00,20:30:00
45655.75,7688.1333,0.0,10000,1,12/29/2024 19:30:00,20:00:00
45655.72917,7694.3667,0.0,10000,1,12/29/2024 19:00:00,19:30:00
45655.70833,7661.1333,0.0,10000,1,12/29/2024 18:30:00,19:00:00
45655.6875,7635.0667,0.0,10000,1,12/29/2024 18:00:00,18:30:00
45655.66667,7714.2,0.0,10000,1,12/29/2024 17:30:00,18:00:00
45655.64583,7687.2,0.0,10000,1,12/29/2024 17:00:00,17:30:00
45655.625,7683.9,0.0,10000,1,12/29/2024 16:30:00,17:00:00
45655.60417,7648.9333,0.0,10000,1,12/29/2024 16:00:00,16:30:00
45655.58333,7632.8667,0.0,10000,1,12/29/2024 15:30:00,16:00:00
45655.5625,7647.3,0.0,10000,1,12/29/2024 15:00:00,15:30:00
45655.54167,7643.0,0.0,10000,1,12/29/2024 14:30:00,15:00:00
45655.52083,7590.1333,0.0,10000,1,12/29/2024 14:00:00,14:30:00
45655.5,7623.3333,0.0,10000,1,12/29/2024 13:30:00,14:00:00
45655.47917,7646.3,0.0,10000,1,12/29/2024 13:00:00,13:30:00
45655.45833,7622.2667,0.0,10000,1,12/29/2024 12:30:00,13:00:00
45655.4375,7632.8,0.0,10000,1,12/29/2024 12:00:00,12:30:00
45655.41667,7739.9333,0.0,10000,1,12/29/2024 11:30:00,12:00:00
45655.39583,7753.1333,0.0,10000,1,12/29/2024 11:00:00,11:30:00
45655.375,7741.2,0.0,10000,1,12/29/2024 10:30:00,11:00:00
45655.35417,7654.5667,0.0,10000,1,12/29/2024 10:00:00,10:30:00
45655.33333,7520.6667,0.0,10000,1,12/29/2024 09:30:00,10:00:00
45655.3125,7471.7667,0.0,10000,1,12/29/2024 09:00:00,09:30:00
45655.29167,7443.5333,0.0,10000,1,12/29/2024 08:30:00,09:00:00
45655.27083,7379.8,0.0,10000,1,12/29/2024 08:00:00,08:30:00
45655.25,7509.4,0.0,10000,1,12/29/2024 07:30:00,08:00:00
45655.22917,7466.8,0.0,10000,1,12/29/2024 07:00:00,07:30:00
45655.20833,7425.2667,0.0,10000,1,12/29/2024 06:30:00,07:00:00
45655.1875,7306.0,0.0,10000,1,12/29/2024 06:00:00,06:30:00
45655.16667,7301.6667,0.0,10000,1,12/29/2024 05:30:00,06:00:00
45655.14583,7315.1333,0.0,10000,1,12/29/2024 05:00:00,05:30:00
45655.125,7304.7333,0.0,10000,1,12/29/2024 04:30:00,05:00:00
45655.10417,7288.2667,0.0,10000,1,12/29/2024 04:00:00,04:30:00
45655.08333,7275.8333,0.0,10000,1,12/29/2024 03:30:00,04:00:00
45655.0625,7265.6,0.0,10000,1,12/29/2024 03:00:00,03:30:00
